@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric

@data
-0.95097,0.9,-0.752046
-0.943713,-1,-0.631551
-0.967259,-0.9,-0.981054
-0.96444,-0.8,-0.994346
-0.962626,-0.7,-0.995806
-0.961053,-0.6,-0.972766
-0.959666,-0.5,-0.981004
-0.959548,-0.4,-0.995333
-0.957805,-0.3,-0.988451
-0.957061,-0.2,-0.979786
-0.955429,-0.1,-0.968067
-0.95429,0,-0.954738
-0.95489,0.1,-0.935153
-0.953048,0.2,-0.870196
-0.952077,0.3,-0.900249
-0.953321,0.4,-0.823515
-0.950607,0.5,-0.863477
-0.950516,0.6,-0.77156
-0.9486,0.7,-0.655593
-0.947416,0.8,-0.761589
-0.945277,0.9,-0.731245
-0.938141,-1,-0.992381
-0.962541,-0.9,-0.868815
-0.960806,-0.8,-0.947443
-0.957307,-0.7,-0.998974
-0.955528,-0.6,-0.997237
-0.955172,-0.5,-0.998111
-0.953692,-0.4,-0.99382
-0.953048,-0.3,-0.993247
-0.95085,-0.2,-0.987154
-0.951518,-0.1,-0.978315
-0.949172,0,-0.949726
-0.949254,0.1,-0.934194
-0.948512,0.2,-0.896068
-0.947746,0.3,-0.894049
-0.947203,0.4,-0.821522
-0.944746,0.5,-0.842667
-0.94362,0.6,-0.583502
-0.943058,0.7,-0.663426
-0.941068,0.8,-0.795663
-0.939404,0.9,-0.724934
-0.932567,-1,-0.898214
-0.955856,-0.9,-0.991918
-0.955343,-0.8,-0.904684
-0.952058,-0.7,-0.975246
-0.951076,-0.6,-0.997655
-0.950048,-0.5,-0.996158
-0.949479,-0.4,-0.998157
-0.946455,-0.3,-0.997518
-0.944214,-0.2,-0.976335
-0.9451,-0.1,-0.961765
-0.944617,0,-0.944942
-0.943071,0.1,-0.925245
-0.942351,0.2,-0.860788
-0.941355,0.3,-0.887989
-0.942539,0.4,-0.848099
-0.940418,0.5,-0.833692
-0.938211,0.6,-0.69649
-0.936785,0.7,-0.403614
-0.934285,0.8,-0.727353
-0.933668,0.9,-0.769484
-0.926337,-1,-0.992142
-0.952467,-0.9,-0.994716
-0.949488,-0.8,-0.929824
-0.948474,-0.7,-0.908914
-0.94512,-0.6,-0.999022
-0.944581,-0.5,-0.990784
-0.94277,-0.4,-0.99675
-0.941397,-0.3,-0.979484
-0.937945,-0.2,-0.977913
-0.938062,-0.1,-0.954609
-0.937518,0,-0.937128
-0.93748,0.1,-0.922397
-0.937353,0.2,-0.905153
-0.934683,0.3,-0.843531
-0.935652,0.4,-0.796284
-0.933967,0.5,-0.830107
-0.933817,0.6,-0.80066
-0.930703,0.7,-0.643399
-0.927497,0.8,-0.580698
-0.928313,0.9,-0.708704
-0.917479,-1,-0.998217
-0.946636,-0.9,-0.937532
-0.94283,-0.8,-0.998216
-0.940078,-0.7,-0.84645
-0.936555,-0.6,-0.998854
-0.937892,-0.5,-0.992887
-0.935465,-0.4,-0.991185
-0.935079,-0.3,-0.977578
-0.935309,-0.2,-0.990987
-0.93434,-0.1,-0.957699
-0.93235,0,-0.932551
-0.931541,0.1,-0.91004
-0.930767,0.2,-0.852356
-0.929708,0.3,-0.781374
-0.929631,0.4,-0.830273
-0.928327,0.5,-0.833013
-0.926266,0.6,-0.792308
-0.92459,0.7,-0.786105
-0.924419,0.8,-0.511571
-0.918125,0.9,-0.544315
-0.909585,-1,-0.999078
-0.940687,-0.9,-0.998808
-0.939089,-0.8,-0.998626
-0.93492,-0.7,-0.996793
-0.934725,-0.6,-0.994494
-0.931275,-0.5,-0.995181
-0.928752,-0.4,-0.985024
-0.929236,-0.3,-0.96824
-0.929877,-0.2,-0.976948
-0.927311,-0.1,-0.950319
-0.925957,0,-0.926695
-0.925484,0.1,-0.900999
-0.924963,0.2,-0.891348
-0.922769,0.3,-0.816647
-0.923887,0.4,-0.798299
-0.920908,0.5,-0.742377
-0.919658,0.6,-0.705712
-0.919243,0.7,-0.677939
-0.917937,0.8,-0.558788
-0.914689,0.9,-0.490863
-0.906302,-1,-0.979293
-0.933379,-0.9,-0.97186
-0.931041,-0.8,-0.847014
-0.932561,-0.7,-0.997929
-0.927926,-0.6,-0.998942
-0.925146,-0.5,-0.998391
-0.925029,-0.4,-0.991288
-0.923557,-0.3,-0.961184
-0.921949,-0.2,-0.98759
-0.920302,-0.1,-0.94534
-0.918417,0,-0.919213
-0.918568,0.1,-0.888989
-0.917376,0.2,-0.847546
-0.916592,0.3,-0.832352
-0.917436,0.4,-0.746922
-0.915153,0.5,-0.803155
-0.912781,0.6,-0.628219
-0.912445,0.7,-0.600961
-0.910084,0.8,-0.567124
-0.902558,0.9,-0.561567
-0.896608,-1,-0.964521
-0.927038,-0.9,-0.954673
-0.926117,-0.8,-0.991454
-0.921706,-0.7,-0.99748
-0.921422,-0.6,-0.941926
-0.917406,-0.5,-0.987091
-0.918402,-0.4,-0.995713
-0.914756,-0.3,-0.956108
-0.913638,-0.2,-0.943292
-0.91237,-0.1,-0.929718
-0.9123,0,-0.913827
-0.912326,0.1,-0.888839
-0.911107,0.2,-0.875883
-0.910452,0.3,-0.790904
-0.90798,0.4,-0.734484
-0.907147,0.5,-0.483416
-0.907866,0.6,-0.75198
-0.903566,0.7,-0.588024
-0.901206,0.8,-0.53518
-0.898611,0.9,-0.461654
-0.89049,-1,-0.979046
-0.925884,-0.9,-0.990279
-0.919406,-0.8,-0.995462
-0.91538,-0.7,-0.993442
-0.915397,-0.6,-0.998435
-0.913339,-0.5,-0.997711
-0.910922,-0.4,-0.993712
-0.908298,-0.3,-0.959439
-0.907118,-0.2,-0.958171
-0.905899,-0.1,-0.933691
-0.906114,0,-0.906498
-0.905396,0.1,-0.874498
-0.903984,0.2,-0.850953
-0.903394,0.3,-0.769873
-0.903668,0.4,-0.656266
-0.900051,0.5,-0.76965
-0.895829,0.6,-0.642801
-0.898125,0.7,-0.702333
-0.893317,0.8,-0.675086
-0.891999,0.9,-0.638803
-0.880883,-1,-0.996097
-0.916944,-0.9,-0.998885
-0.917068,-0.8,-0.993767
-0.910442,-0.7,-0.990552
-0.908596,-0.6,-0.998888
-0.905636,-0.5,-0.981965
-0.902243,-0.4,-0.960557
-0.900665,-0.3,-0.98598
-0.900042,-0.2,-0.938251
-0.899873,-0.1,-0.929937
-0.898657,0,-0.898312
-0.89761,0.1,-0.844837
-0.896666,0.2,-0.788787
-0.896085,0.3,-0.827373
-0.895023,0.4,-0.816766
-0.891876,0.5,-0.763323
-0.890921,0.6,-0.754884
-0.890688,0.7,-0.700873
-0.886293,0.8,0
-0.881525,0.9,-0.601394
-0.871731,-1,-0.99711
-0.907789,-0.9,-0.999154
-0.906702,-0.8,-0.986078
-0.899395,-0.7,-0.984034
-0.896288,-0.6,-0.982601
-0.89891,-0.5,-0.999088
-0.892557,-0.4,-0.969593
-0.893769,-0.3,-0.951903
-0.892575,-0.2,-0.930494
-0.891704,-0.1,-0.934102
-0.889434,0,-0.889694
-0.8887,0.1,-0.863157
-0.887308,0.2,-0.838662
-0.885748,0.3,-0.732639
-0.886297,0.4,-0.778153
-0.883562,0.5,-0.750595
-0.883379,0.6,-0.749661
-0.881629,0.7,-0.703331
-0.878004,0.8,-0.634242
-0.873317,0.9,0
-0.8626,-1,-0.998297
-0.900645,-0.9,-0.995833
-0.900295,-0.8,-0.988873
-0.895088,-0.7,-0.991117
-0.893094,-0.6,-0.969727
-0.888763,-0.5,-0.978279
-0.887767,-0.4,-0.961853
-0.886421,-0.3,-0.944308
-0.886666,-0.2,-0.92781
-0.884028,-0.1,-0.906156
-0.881464,0,-0.882158
-0.881297,0.1,-0.857957
-0.879295,0.2,-0.826905
-0.877577,0.3,-0.743392
-0.877165,0.4,-0.754706
-0.876145,0.5,-0.566841
-0.873722,0.6,-0.70713
-0.871947,0.7,-0.452731
-0.870047,0.8,-0.625135
-0.864838,0.9,-0.367906
-0.854203,-1,-0.819079
-0.893806,-0.9,-0.999169
-0.89027,-0.8,-0.987269
-0.885421,-0.7,-0.987826
-0.883708,-0.6,-0.979894
-0.880798,-0.5,-0.986677
-0.878984,-0.4,-0.953671
-0.878082,-0.3,-0.942986
-0.876816,-0.2,-0.926289
-0.873146,-0.1,-0.895827
-0.873802,0,-0.872548
-0.872579,0.1,-0.840301
-0.87271,0.2,-0.82709
-0.871513,0.3,-0.725656
-0.871073,0.4,-0.609768
-0.86956,0.5,-0.705769
-0.863792,0.6,-0.467063
-0.86756,0.7,-0.643304
-0.862344,0.8,-0.66473
-0.855609,0.9,-0.557933
-0.847058,-1,-0.990467
-0.889101,-0.9,-0.847801
-0.880743,-0.8,-0.994929
-0.877689,-0.7,-0.980436
-0.875302,-0.6,-0.980596
-0.871623,-0.5,-0.971518
-0.870621,-0.4,-0.94664
-0.870324,-0.3,-0.950773
-0.86696,-0.2,-0.920191
-0.866615,-0.1,-0.897269
-0.865315,0,-0.863225
-0.864515,0.1,-0.838738
-0.862478,0.2,-0.789874
-0.862548,0.3,-0.781175
-0.861493,0.4,-0.640754
-0.861374,0.5,-0.575125
-0.861953,0.6,-0.698203
-0.853896,0.7,-0.546559
-0.853004,0.8,-0.391495
-0.846784,0.9,-0.554046
-0.833473,-1,-0.990626
-0.875923,-0.9,-0.996503
-0.874895,-0.8,-0.861972
-0.871286,-0.7,-0.990093
-0.867871,-0.6,-0.998475
-0.86091,-0.5,-0.960399
-0.863716,-0.4,-0.982738
-0.863303,-0.3,-0.940424
-0.85854,-0.2,-0.933317
-0.85715,-0.1,-0.888147
-0.857595,0,-0.858019
-0.854798,0.1,-0.829494
-0.854083,0.2,-0.743996
-0.852799,0.3,-0.771754
-0.852481,0.4,-0.674531
-0.850251,0.5,-0.693233
-0.848731,0.6,-0.53718
-0.84616,0.7,-0.30102
-0.841355,0.8,-0.571676
-0.840489,0.9,-0.354059
-0.828544,-1,-0.992359
-0.868041,-0.9,-0.997645
-0.865809,-0.8,-0.99188
-0.86509,-0.7,-0.998893
-0.861226,-0.6,-0.959776
-0.857141,-0.5,-0.986998
-0.853884,-0.4,-0.939119
-0.849784,-0.3,-0.918841
-0.852101,-0.2,-0.918328
-0.84826,-0.1,-0.877623
-0.847257,0,-0.849191
