@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute varObjetivo numeric

@data
0,-0.824186,0.4,0.6,-0.771587
0,-0.829168,0.4,0.8,-0.774048
0,-0.820522,0.4,1,-0.74821
0,-0.808628,0.6,-1,-0.873626
0,-0.938784,0.6,-0.8,-0.933605
0,-0.999044,0.6,-0.6,-0.950305
0,-0.946218,0.6,-0.4,-0.981038
0,-0.915953,0.6,-0.2,-0.933713
0,-0.885374,0.6,0,-0.886174
0,-0.864721,0.6,0.2,-0.852947
0,-0.850726,0.6,0.4,-0.822585
0,-0.631161,0.6,0.6,-0.279975
0,-0.695998,0.6,0.8,-0.494069
0,-0.726471,0.6,1,-0.556624
0,-0.744171,0.8,-1,-0.855854
0,-0.958057,0.8,-0.8,-0.998668
0,-0.957123,0.8,-0.6,-0.989155
0,-0.918655,0.8,-0.4,-0.99956
0,-0.983253,0.8,-0.2,-0.998091
0,-0.905218,0.8,0,-0.906187
0,-0.867012,0.8,0.2,-0.844422
0,-0.840914,0.8,0.4,-0.796706
0,-0.819211,0.8,0.6,-0.742856
0,-0.769851,0.8,0.8,-0.601045
0,0,0.8,1,0.899222
0,0,1,-1,-0.579337
0,-0.994831,1,-0.8,-0.886685
0,-0.976927,1,-0.6,-0.999457
0,-0.928029,1,-0.4,-0.955425
0,-0.904617,1,-0.2,-0.979103
0,-0.933326,1,0,-0.935206
0,-0.865739,1,0.2,-0.835692
0,-0.826314,1,0.4,-0.753003
0,-0.804399,1,0.6,-0.718678
0,-0.797746,1,0.8,-0.697762
0,-0.786709,1,1,-0.670911
0,-0.637636,0,-1,-0.676967
0,-0.754017,0,-0.8,-0.747543
0,-0.760303,0,-0.6,-0.757194
0,-0.765914,0,-0.4,-0.764741
0,-0.762787,0,-0.2,-0.760955
0,-0.764388,0,0,-0.764306
0,-0.765973,0,0.2,-0.77016
0,-0.766921,0,0.4,-0.766962
0,-0.766374,0,0.6,-0.771667
0,-0.765747,0,0.8,-0.767601
0,-0.767781,0,1,-0.7732
0,-0.766149,0.2,-1,-0.798202
0,-0.799901,0.2,-0.8,-0.909164
0,-0.864892,0.2,-0.6,-0.917708
0,-0.81481,0.2,-0.4,-0.837275
0,-0.784042,0.2,-0.2,-0.793247
0,-0.776064,0.2,0,-0.776871
0,-0.764942,0.2,0.2,-0.757636
0,-0.757275,0.2,0.4,-0.668223
