@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo numeric

@data
-20,4.25,12,5.030006
-20,4.25,12.5,3.365427
-20,4.25,13,2.538304
-20,4.25,13.5,3.780033
-20,4.25,14,3.462055
-20,4.25,14.5,2.911503
-20,4.25,15,4.278838
-20,4.5,5,1.380728
-20,4.5,5.5,1.460422
-20,4.5,6,2.313849
-20,4.5,6.5,1.472604
-20,4.5,7,2.42329
-20,4.5,7.5,1.781299
-20,4.5,8,2.459809
-20,4.5,8.5,1.620671
-20,4.5,9,1.848897
-20,4.5,9.5,2.927925
-20,4.5,10,1.967989
-20,4.5,10.5,2.589262
-20,4.5,11,2.560162
-20,4.5,11.5,2.62723
-20,4.5,12,4.072804
-20,4.5,12.5,3.051094
-20,4.5,13,3.543348
-20,4.5,13.5,4.532999
-20,4.5,14,3.034807
-20,4.5,14.5,3.741565
-20,4.5,15,3.005088
-20,4.75,5,1.591461
-20,4.75,5.5,1.086926
-20,4.75,6,1.486845
-20,4.75,6.5,2.005323
-20,4.75,7,2.956632
-20,4.75,7.5,3.878498
-20,4.75,8,1.782905
-20,4.75,8.5,1.919891
-20,4.75,9,2.151082
-20,4.75,9.5,2.836489
-20,4.75,10,3.462739
-20,4.75,10.5,2.353382
-20,4.75,11,3.219324
-20,4.75,11.5,2.307473
-20,4.75,12,2.606028
-20,4.75,12.5,3.597376
-20,4.75,13,3.279003
-20,4.75,13.5,3.684291
-20,4.75,14,3.16709
-20,4.75,14.5,2.830317
-20,4.75,15,3.106588
-20,5,5,4.141114
-20,5,5.5,1.795685
-20,5,6,1.587349
-20,5,6.5,1.29995
-20,5,7,1.989081
-20,5,7.5,3.968153
-20,5,8,2.435399
-20,5,8.5,1.899203
-20,5,9,2.341672
-20,5,9.5,1.753146
-20,5,10,2.159123
-20,5,10.5,3.655563
-20,5,11,2.137986
-20,5,11.5,2.641151
-20,5,12,3.010889
-20,5,12.5,2.604806
-20,5,13,2.573119
-20,5,13.5,3.270531
-20,5,14,2.540272
-20,5,14.5,2.873592
-20,5,15,2.734322
-19.75,-5,5,4.273157
-19.75,-5,5.5,4.105382
-19.75,-5,6,3.058418
-19.75,-5,6.5,3.126956
-19.75,-5,7,3.142886
-19.75,-5,7.5,3.002386
-19.75,-5,8,5.057518
-19.75,-5,8.5,3.272694
-19.75,-5,9,5.173532
-19.75,-5,9.5,5.140012
-19.75,-5,10,5.692428
-19.75,-5,10.5,3.831173
-19.75,-5,11,3.988298
-19.75,-5,11.5,3.607689
-19.75,-5,12,3.970752
-19.75,-5,12.5,4.404059
-19.75,-5,13,3.985743
-19.75,-5,13.5,4.671328
-19.75,-5,14,4.001682
-19.75,-5,14.5,4.305703
-19.75,-5,15,4.641259
-19.75,-4.75,5,2.578837
-19.75,-4.75,5.5,2.328403
-19.75,-4.75,6,2.456735
-19.75,-4.75,6.5,2.653115
-19.75,-4.75,7,2.73103
-19.75,-4.75,7.5,3.39733
-19.75,-4.75,8,3.337275
-19.75,-4.75,8.5,3.734944
-19.75,-4.75,9,2.987339
-19.75,-4.75,9.5,3.522835
-19.75,-4.75,10,4.637451
-19.75,-4.75,10.5,3.672686
-19.75,-4.75,11,3.874227
-19.75,-4.75,11.5,3.526644
-19.75,-4.75,12,4.474758
-19.75,-4.75,12.5,3.975868
-19.75,-4.75,13,3.890252
-19.75,-4.75,13.5,3.84567
-19.75,-4.75,14,4.94348
-19.75,-4.75,14.5,4.749861
-19.75,-4.75,15,4.358334
-19.75,-4.5,5,2.139608
-19.75,-4.5,5.5,3.175749
-19.75,-4.5,6,2.432789
-19.75,-4.5,6.5,2.957412
-19.75,-4.5,7,3.240103
-19.75,-4.5,7.5,4.775928
-19.75,-4.5,8,3.339172
-19.75,-4.5,8.5,3.500254
-19.75,-4.5,9,4.410295
-19.75,-4.5,9.5,3.703169
-19.75,-4.5,10,3.233785
-19.75,-4.5,10.5,3.329056
-19.75,-4.5,11,4.162387
