@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo numeric

@data
-0.860343,0,-0.1,-0.859421
-0.859421,0,0,-0.862499
-0.862499,0,0.1,-0.862064
-0.862064,0,0.2,-0.863045
-0.863045,0,0.3,-0.865633
-0.865633,0,0.4,-0.865155
-0.865155,0,0.5,-0.868594
-0.868594,0,0.6,-0.870916
-0.870916,0,0.7,-0.86927
-0.86927,0,0.8,-0.87382
-0.87382,0,0.9,-0.877753
-0.877753,0.1,-1,-0.893143
-0.893143,0.1,-0.9,-0.886668
-0.886668,0.1,-0.8,-0.890296
-0.890296,0.1,-0.7,-0.87617
-0.87617,0.1,-0.6,-0.881773
-0.881773,0.1,-0.5,-0.880275
-0.880275,0.1,-0.4,-0.873893
-0.873893,0.1,-0.3,-0.872638
-0.872638,0.1,-0.2,-0.869617
-0.869617,0.1,-0.1,-0.866263
-0.866263,0.1,0,-0.862969
-0.862969,0.1,0.1,-0.860644
-0.860644,0.1,0.2,-0.85794
-0.85794,0.1,0.3,-0.849537
-0.849537,0.1,0.4,-0.850003
-0.850003,0.1,0.5,-0.849643
-0.849643,0.1,0.6,-0.847832
-0.847832,0.1,0.7,-0.849154
-0.849154,0.1,0.8,-0.8391
-0.8391,0.1,0.9,-0.83857
-0.83857,0.2,-1,-0.931589
-0.931589,0.2,-0.9,-0.910328
-0.910328,0.2,-0.8,-0.909013
-0.909013,0.2,-0.7,-0.902448
-0.902448,0.2,-0.6,-0.896955
-0.896955,0.2,-0.5,-0.89557
-0.89557,0.2,-0.4,-0.888534
-0.888534,0.2,-0.3,-0.879396
-0.879396,0.2,-0.2,-0.877354
-0.877354,0.2,-0.1,-0.871476
-0.871476,0.2,0,-0.863132
-0.863132,0.2,0.1,-0.855314
-0.855314,0.2,0.2,-0.852985
-0.852985,0.2,0.3,-0.845678
-0.845678,0.2,0.4,-0.828524
-0.828524,0.2,0.5,-0.838702
-0.838702,0.2,0.6,-0.823278
-0.823278,0.2,0.7,-0.814865
-0.814865,0.2,0.8,-0.78267
-0.78267,0.2,0.9,-0.804355
-0.804355,0.3,-1,-0.952823
-0.952823,0.3,-0.9,-0.939569
-0.939569,0.3,-0.8,-0.96121
-0.96121,0.3,-0.7,-0.922466
-0.922466,0.3,-0.6,-0.916081
-0.916081,0.3,-0.5,-0.903386
-0.903386,0.3,-0.4,-0.904923
-0.904923,0.3,-0.3,-0.895338
-0.895338,0.3,-0.2,-0.88359
-0.88359,0.3,-0.1,-0.87087
-0.87087,0.3,0,-0.865947
-0.865947,0.3,0.1,-0.85545
-0.85545,0.3,0.2,-0.842233
-0.842233,0.3,0.3,-0.835286
-0.835286,0.3,0.4,-0.81394
-0.81394,0.3,0.5,-0.80468
-0.80468,0.3,0.6,-0.775637
-0.775637,0.3,0.7,-0.79744
-0.79744,0.3,0.8,-0.774695
-0.774695,0.3,0.9,-0.763973
-0.763973,0.4,-1,-0.947202
-0.947202,0.4,-0.9,-0.98746
-0.98746,0.4,-0.8,-0.961405
-0.961405,0.4,-0.7,-0.962318
-0.962318,0.4,-0.6,-0.927622
-0.927622,0.4,-0.5,-0.927598
-0.927598,0.4,-0.4,-0.914323
-0.914323,0.4,-0.3,-0.903925
-0.903925,0.4,-0.2,-0.906313
-0.906313,0.4,-0.1,-0.877939
-0.877939,0.4,0,-0.865732
-0.865732,0.4,0.1,-0.851947
-0.851947,0.4,0.2,-0.838181
-0.838181,0.4,0.3,-0.82886
-0.82886,0.4,0.4,-0.806158
-0.806158,0.4,0.5,-0.799739
-0.799739,0.4,0.6,-0.782116
-0.782116,0.4,0.7,-0.707164
-0.707164,0.4,0.8,-0.752519
-0.752519,0.4,0.9,-0.655554
-0.655554,0.5,-1,-0.960753
-0.960753,0.5,-0.9,-0.998506
-0.998506,0.5,-0.8,-0.987109
-0.987109,0.5,-0.7,-0.972931
-0.972931,0.5,-0.6,-0.953294
-0.953294,0.5,-0.5,-0.968124
